#3,Aphex Twin,Selected Ambient Works Volume II,https://i.scdn.co/image/8586bf0880f65eb27e7eb093f8359afbb7bb76b8 https://i.scdn.co/image/44b7eb6737831a8bdf56c64a19375437a47feddb https://i.scdn.co/image/0f68e7d7a89b256fbe939c58b9d9c3fa3c1895cc,AR,1994-03-07,167,4642930,107,580,spotify:track:2Bc4llhjJBW77I552RgA3L
#5 Go Bang! (Francois K Mix),Dinosaur L,24-24 Music: The Definitive Arthur Russell Sleeping Bag Recordings,https://i.scdn.co/image/250b36c204605a1f3b4361989ae6c3f60900f3a8 https://i.scdn.co/image/f09bae26a3b3b72f087ae7c9cad986ef2561ef6e https://i.scdn.co/image/bfd44a79227ce7ad07a8d7e9665d1bf33b3522ca,BE,2015-10-16,694,4548400,264,220,spotify:track:1WaeKhR5bpdmymEXM0yN1f
#88,Lo-Fang,#88,https://i.scdn.co/image/e7c9bf5128871a5a3c7c35771c946a2f9a55c40a https://i.scdn.co/image/1999f1b0c185856dbb6b474448a8d50b8926371a https://i.scdn.co/image/63f0bc1bfc3050a04726b2355d65793ecdaf9d26,FI,2013-10-07,543,3480800,812,510,spotify:track:1jjwFHRnfgBTJ049RJz8CQ
#Beach,Terri Lyons,#Beach,https://i.scdn.co/image/a3d320b4cc317b0d336d4657a176db244596caf8 https://i.scdn.co/image/47e8b1d3144f1908a4150f086d10d9260f2ef1e3 https://i.scdn.co/image/09de21cad6cf124bdf1a2d5d73a1cfbce5c86bfc,FI,2018-07-29,825,2194810,176,270,spotify:track:1n7Bu2rRIYoryg2Q1RSlHZ
#janeinvielleicht,Pizzera & Jaus,#janeinvielleicht,https://i.scdn.co/image/d0ca76640283dd5d39c6451693e674f739771b60 https://i.scdn.co/image/15c2ab8297bef3649f01be1d1cb3370255f2c299 https://i.scdn.co/image/1517c8b907992a2b16bb403ad1c9531afec2f6b2,FI,2018-09-06,516,1738570,38,480,spotify:track:1WQ9KkwNxESP9RR9MpP5b4
#niemalsantäuschen,Farid Bang,NURMAGOMEDOW EP,https://i.scdn.co/image/3e13f711a6ca6a33941836b09513f88a37153466 https://i.scdn.co/image/132aacb0cf613a49eb8e7e42f5476c9c954986c4 https://i.scdn.co/image/095c1f77a764b632694e2a2e0961dfb01e90b625,BE,2019-01-11,886,1973470,637,740,spotify:track:0hzcLCW6F1F0jauTFAhOQP
#Trip 1,Janeiro,Fragmentos,https://i.scdn.co/image/d609a92b01be5d7b3fb02ffd876ed801eaa9f8c4 https://i.scdn.co/image/a36beba0397ede725dde45d20e8f5a8e9013926a https://i.scdn.co/image/8de9686b068782874391be0c420e6cb23cf66f29,FI,2018-06-01,797,926850,165,290,spotify:track:04esErQet0bSdP8Dwrxd3B
#with_you,D'avant,#with_you,https://i.scdn.co/image/58373991bf8bb3faa5841da60295ba00cf80a543 https://i.scdn.co/image/04fe8f7b57c798c4d94013fd839bee2e117cb53a https://i.scdn.co/image/eda98cef6cefbec44d5d0b03112a9e96c8cc9b27,AR,2018-06-14,65,1785550,103,400,spotify:track:1D1laQvjRLunEs8XDO9sag
#Youredead,The Suck,In-Cog-Neat-O,https://i.scdn.co/image/8a54e5e01532149d328770f39b4630a40592cdaf https://i.scdn.co/image/dc4710c65f0a905cc97137c95abb8038b7f48035 https://i.scdn.co/image/f496bd18488b4c739be06a4bde5776e02bd5e701,BE,2019-03-09,372,1217440,348,100,spotify:track:0QftF8RCoFHYfqpmgFIKS6
$20,Bars of Gold,$20,https://i.scdn.co/image/4e73602e6b06ed432987e1f83f7b1cad2dc712c7 https://i.scdn.co/image/7f55f926317d6f6d79c28b3d47743e789d5f0a8a https://i.scdn.co/image/5942a973fc2f6f4a97d2a1a0f438f2f2c64382b4,BE,2019-03-13,281,1548730,36,140,spotify:track:13szCAtmUSofbDPHOpV5OJ
(BALLAD OF) THE HIP DEATH GODDESS,Ultimate Spinach,Ultimate Spinach,https://i.scdn.co/image/41a39213f09bceb9347f2f32271f8dc0fc0642e0 https://i.scdn.co/image/6be9787706888314e77af637b08796ee851a1ef5 https://i.scdn.co/image/f3225288b104c91943f0dcffc0749a97188f4138,FI,1968-01-06,536,4949330,327,370,spotify:track:1IQmZ2Hz0HEtb8rwXNci4i
(Bônus) Jaspion Kyoju Tokuso - Ore Ga Seigi Da! Jaspion (AndMarks Version),AndMarks,VGMasters - Sharing The Game,https://i.scdn.co/image/444691ef711b4f99332ed7dd0ca1e41162998230 https://i.scdn.co/image/0e886e540cf26d4bb70faa1be07dfa50c3fd2ef3 https://i.scdn.co/image/cb194fc4c4c5a640cdc21ed78905d33052269f82,AR,2014-10-15,43,1515360,142,200,spotify:track:1LML37Ec9VCzeiSlShocGV
(Guitar),alt-J,An Awesome Wave,https://i.scdn.co/image/3d0d4e13e80545a24977e6aed728c4b43760b194 https://i.scdn.co/image/338274171d9e53901e7aed8fb349ec3b3af8f014 https://i.scdn.co/image/77b1f22e319302b85199159004137c5dd1ec8dcc,AR,2012-05-28,486,774000,37,500,spotify:track:0qtFh6B9ViUyHVwdJCdGZZ
(Here Comes The) Rain,The Cult,Love (Expanded Edition),https://i.scdn.co/image/ccd51d89e881da3179779a218a411d1abe800b62 https://i.scdn.co/image/f130970e98a269252bc3f2bc8b75e897adef1e21 https://i.scdn.co/image/6c3c26666e472e62a855593ec08dfbc146eda438,FI,1985,546,3790670,176,370,spotify:track:2avqFwSrY5t25NdC5fmm8H
(I Married a) Monster from Outer Space,John Cooper Clarke,Disguise In Love,https://i.scdn.co/image/3c623a78ef7221c841d98700231c3bd15b4c3a03 https://i.scdn.co/image/37bb48c334077a6d49c05252d12c8ed5aca8a8a8 https://i.scdn.co/image/db1571c5f5bacb2bd17454609cb06bfdae8061d0,AR,1978,562,2115600,347,310,spotify:track:0FnmRkP81O1I6oeOeU1xXS
(I Want Your) Life Hack,Team Picture,(I Want Your) Life Hack,https://i.scdn.co/image/e4e8b9d6a82795ab10037c904abdf0ada0fdc58c https://i.scdn.co/image/ccfe5f0e095da73fc1823d1e99a5612177c20229 https://i.scdn.co/image/9eac8e88f4385e3c5b3796355d3693b1121ffb3d,BE,2018-03-08,537,1661350,565,160,spotify:track:1LZBIhN7n5crChcaxRXgi3
(I've Gotta Take It) Easy,Electric Zoo,Me and My Machine Against the World,https://i.scdn.co/image/cd0a68e1b69061e36f21bcdb7122cfc84b0d90a1 https://i.scdn.co/image/374237805346026228ca8677bc100f0024be13e5 https://i.scdn.co/image/fd839ff49aba93fd0cc37cb4708d338581607eca,FI,2018-12-17,377,2649700,901,200,spotify:track:0wT5HqPCBP79mRdbfdv597
(Margie's At) The Lincoln Park Inn,Bobby Bare,(Margie's At) The Lincoln Park Inn,height:636 https://i.scdn.co/image/072ef2a278798605e416201e44e88982414af0a2298 https://i.scdn.co/image/75bcc723c36a339b445f88a3ef12240a9d1ffcc3 https://i.scdn.co/image/ee3bfc6cdd98df532063ed174fabb617ab19a79b,AR,1969-06-01,364,1987330,151,370,spotify:track:0srp0yXqH0Axym0z7wLUQy
(Maybe I Wanna Go) Surfing with You,The Boondocks,Plastic Century,https://i.scdn.co/image/866733972a0bc72bdb32d7f859c05c1f572784ce https://i.scdn.co/image/183cd3b29276960f3818c37b3f1148a8f20cdbd1 https://i.scdn.co/image/2298786bb5d4ae99bd30b7e40a4a3b082a0c79d1,BE,2017-09-25,439,2022000,758,200,spotify:track:1SF2l5hco0wbZcJJdoDSam
